M19859,303.7,312.9,1532,41.3,32,0,0,0,0,0,0
L52180,303.7,312.8,1832,23.6,35,0,0,0,0,0,0
M19861,303.6,312.7,2174,17.6,37,0,0,0,0,0,0
L52182,303.7,312.8,1627,31.7,40,0,0,0,0,0,0
L52183,303.7,312.8,1437,51.3,42,0,0,0,0,0,0
L52184,303.7,312.8,1364,46.3,44,0,0,0,0,0,0
M19865,303.7,312.9,1444,52.7,46,0,0,0,0,0,0
M19866,303.7,312.8,1366,47.3,49,0,0,0,0,0,0
L52187,303.8,312.9,1442,48.3,52,0,0,0,0,0,0
H34422,303.7,312.8,1488,42.8,54,0,0,0,0,0,0
L52189,303.7,312.8,1523,40.7,59,0,0,0,0,0,0
L52190,303.7,312.8,1543,38.3,61,0,0,0,0,0,0
M19871,303.7,312.8,1634,33.8,63,0,0,0,0,0,0
M19872,303.8,312.9,1815,27.8,66,0,0,0,0,0,0
M19873,303.8,312.9,1594,35.2,69,0,0,0,0,0,0
L52194,303.8,313,1452,38.6,72,0,0,0,0,0,0
L52195,303.9,313,1759,28.4,74,0,0,0,0,0,0
L52196,303.9,313,1408,47.5,76,0,0,0,0,0,0
L52197,303.9,313,1483,45,78,0,0,0,0,0,0
M19878,303.9,313,1620,36.6,80,0,0,0,0,0,0
M19879,304,313.1,1466,39.5,83,0,0,0,0,0,0
L52200,304.1,313.1,1556,36.3,86,0,0,0,0,0,0
L52201,304,313,1350,61.1,88,0,0,0,0,0,0
L52202,304,313.1,1404,47.1,90,0,0,0,0,0,0
M19883,304,313,1575,34.5,92,0,0,0,0,0,0
L52204,303.9,313.1,1639,29,95,0,0,0,0,0,0
M19885,303.9,313.1,1473,42.8,97,0,0,0,0,0,0
L52206,303.9,313.2,1481,40,100,0,0,0,0,0,0
L52207,304,313.3,1294,54.6,102,0,0,0,0,0,0
M19888,303.9,313.2,1630,29.3,104,0,0,0,0,0,0
M19889,303.9,313.2,1624,39.8,107,0,0,0,0,0,0
M19890,303.9,313.1,1437,48.3,110,0,0,0,0,0,0
M19891,303.8,313,1514,45,113,0,0,0,0,0,0
M19892,304,313.1,1694,31.4,116,0,0,0,0,0,0
L52213,304,313.1,1564,50.9,119,0,0,0,0,0,0
M19894,303.9,313.1,1514,41.1,121,0,0,0,0,0,0
M19895,304,313.2,1500,40.6,124,0,0,0,0,0,0
L52216,304,313.2,1615,37.8,127,0,0,0,0,0,0
M19897,304.1,313.2,1586,41.1,129,0,0,0,0,0,0
L52218,304.1,313.3,1732,28.5,132,0,0,0,0,0,0
H34453,304.1,313.3,1689,32.5,134,0,0,0,0,0,0
H34454,304.1,313.2,1586,34.6,139,0,0,0,0,0,0
L52221,304,313.2,1314,47.1,144,0,0,0,0,0,0
L52222,304.1,313.2,1569,35.8,146,0,0,0,0,0,0
L52223,304.1,313.2,1468,39.4,148,0,0,0,0,0,0
L52224,304.1,313.2,1412,47.5,150,0,0,0,0,0,0
M19905,304.1,313.2,1510,46.9,152,0,0,0,0,0,0
M19906,304.1,313.2,1410,42.4,155,0,0,0,0,0,0
M19907,304.1,313.3,1680,29.3,158,0,0,0,0,0,0
H34462,304,313.2,1271,68.6,161,1,0,0,1,0,0
H34463,304,313.1,1472,45.5,166,0,0,0,0,0,0
H34464,304,313,1701,30.4,171,0,0,0,0,0,0
L52231,303.9,313,1480,39.9,176,0,0,0,0,0,0
L52232,303.9,313,1433,48.4,178,0,0,0,0,0,0
L52233,303.8,312.9,1514,34.3,180,0,0,0,0,0,0
L52234,303.8,312.9,1619,35.7,182,0,0,0,0,0,0
H34469,303.8,312.9,1378,45.6,184,0,0,0,0,0,0
M19916,303.9,312.9,1430,53.5,189,0,0,0,0,0,0
L52237,303.8,312.9,1367,49.9,192,0,0,0,0,0,0
L52238,303.9,312.9,1526,42.5,194,0,0,0,0,0,0
L52239,303.9,312.8,1419,47.9,196,0,0,0,0,0,0
L52240,304,312.8,1542,42.7,198,0,0,0,0,0,0
L52241,304,312.9,1363,62.5,200,1,0,0,0,1,0
L52242,304,312.9,1313,53.9,202,0,0,0,0,0,0
H34477,304,312.9,1495,46.6,0,0,0,0,0,0,0
L52244,304,313,1407,42.1,5,0,0,0,0,0,0
L52245,304.1,313,1566,37.2,7,0,0,0,0,0,0
L52246,304.1,313.1,1550,30.9,9,0,0,0,0,0,0
M19927,304.2,313.2,1396,50.5,11,0,0,0,0,0,0
M19928,304.3,313.3,1540,39,14,0,0,0,0,0,0
M19929,304.2,313.2,1380,48.7,17,0,0,0,0,0,0
M19930,304.2,313.1,1608,31.1,20,0,0,0,0,0,0
H34485,304.2,313,1442,40.9,23,0,0,0,0,0,0
L52252,304.1,313,1408,45.3,28,0,0,0,0,0,0
M19933,304,313,1454,46.8,30,0,0,0,0,0,0
L52254,304.1,313.1,1666,34.6,33,0,0,0,0,0,0
L52255,304.1,313.2,1366,46.6,35,0,0,0,0,0,0
L52256,304.2,313.2,1464,44.9,37,0,0,0,0,0,0
L52257,304.3,313.3,1775,24.9,39,0,0,0,0,0,0
M19938,304.3,313.4,1482,43.8,41,0,0,0,0,0,0
M19939,304.2,313.4,1411,54.8,44,0,0,0,0,0,0
L52260,304.2,313.3,1410,51.6,47,0,0,0,0,0,0
M19941,304.1,313.3,1494,39,49,0,0,0,0,0,0
H34496,304.1,313.2,1590,43.4,52,0,0,0,0,0,0
